name_track,artist_track,uri_track,popularity,tempo,genres
LEYENDAS,KAROL G,spotify:track:5vQy9fwVJTeLsaX9IOpCcp,64,97,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Mi Ex,Sech,spotify:track:6oSmQTvt30dgjTwd3VAXYK,50,113,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
¿Qué Somos?,Sech,spotify:track:30d3QDKSRgsiPr8yenfSYK,45,90,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
PSL,Sech,spotify:track:6o4Gciys1ZIOQ2kDGnvKdm,63,90,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
Dime Si Tu,Anonimus,spotify:track:4ZY3ba5hizWxpRDlsbyor5,41,92,"reggaeton, reggaeton flow, trap latino, urbano latino"
Pensándote,Rauw Alejandro,spotify:track:2wnhst8yHA4gKuojAgZedh,70,170,"pop, r&b en espanol"
Juegas Con Mi Mente,Plan B,spotify:track:6tzZzZC5zd2Es3y318jf3p,41,176,"houston rap, pop, rap, trap queen"
Zapatito Roto,Plan B,spotify:track:6DTC54larAiRAN6Qu8I53w,45,95,"houston rap, pop, rap, trap queen"
CANCIÓN CON YANDEL,Yandel,spotify:track:3pm4XtcsRIFFtH2UErk62R,74,80,"latin hip hop, reggaeton, trap latino, urbano latino"
LHNA (with Anuel AA),RobGz,spotify:track:4n050GO5qafy6WP3aDcnDr,53,137,trap latino
El Reggaetón,Ozuna,spotify:track:7ooWSUhPtPPJfBhhLdYjIn,42,94,"puerto rican pop, reggaeton, trap latino, urbano latino"
Si Te Veo,Arcángel,spotify:track:2TmT3wSwRf0CYJFGGaIXNB,61,168,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
No Quiere Enamorarse - Remix,Ozuna,spotify:track:0XC9N5n8osww4bfsPuNMpS,57,164,"puerto rican pop, reggaeton, trap latino, urbano latino"
