name_track,artist_track,uri_track,popularity,tempo,genres,urlImage,album
De Qué Me Sirve la Vida,Camila,spotify:track:3YHGqAHprVEArAxLzaBE6O,69,149.399,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b273d46baecb11453061ea9fa795,Dejarte De Amar
Algo Más,La Quinta Estacion,spotify:track:1TcwFgNVSk901hK4Rwpcsn,0,149.673,"latin arena pop, latin pop, spanish pop rock",https://i.scdn.co/image/ab67616d0000b27309004b11000b160db74564ab,Flores De Alquiler
Te Conozco,Ricardo Arjona,spotify:track:5nAiSK9L3OG1v3HEgZmnoz,60,150.043,"cantautor, latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b2737d6e9d820246b1bf7b7dd72c,Sólo Para Mujeres
Todo sea por el rocanrol,El Tri,spotify:track:7LEVHYuAwO8smfoevi8tYV,36,139.3,"latin alternative, latin rock, mexican rock, rock en espanol, rock urbano mexicano",https://i.scdn.co/image/ab67616d0000b2734156b99b4dd39b86d1ba7d90,Clasicas para Rockear
Vicioso,El Tri,spotify:track:1AFrEnrSOTsFNZNxZllOm6,22,173.914,"latin alternative, latin rock, mexican rock, rock en espanol, rock urbano mexicano",https://i.scdn.co/image/ab67616d0000b27350eee20be2eaf52ebbe18cdb,40 Años Vol. 1
Mente roquera,El Tri,spotify:track:6siM0kfxKHLW5zhM5g80x9,41,148.128,"latin alternative, latin rock, mexican rock, rock en espanol, rock urbano mexicano",https://i.scdn.co/image/ab67616d0000b273366a43b69cb3d6f60c33586b,Sinfónico
Right Round,Flo Rida,spotify:track:3GpbwCm3YxiWDvy29Uo3vP,79,124.986,"dance pop, miami hip hop, pop, pop rap",https://i.scdn.co/image/ab67616d0000b27318aa5d7e6d484b832cd5d03f,R.O.O.T.S. (Route of Overcoming the Struggle)
Te Lo Pido de Rodillas,Los Iracundos,spotify:track:0MRTJ6QJzYnc5nLZ3eODcf,38,84.255,pop romantico,https://i.scdn.co/image/ab67616d0000b27396cd492e6d076413ed0f10e4,15 Canciones Favoritas
Va Cayendo una Lágrima,Los Iracundos,spotify:track:7fkuuNztRAsPMgogZnSxYZ,34,85.666,pop romantico,https://i.scdn.co/image/ab67616d0000b27396cd492e6d076413ed0f10e4,15 Canciones Favoritas
El Desengano,Los Iracundos,spotify:track:6XRzzXicKYJZLP9n67LCGn,0,115.175,pop romantico,https://i.scdn.co/image/ab67616d0000b2735e78bd6c8e9562e6015fd556,Extraordinarios Vol. 3
Mamarracho,Los Iracundos,spotify:track:1U7KrwQXA54ZmNSjNEEKkl,26,103.049,pop romantico,https://i.scdn.co/image/ab67616d0000b2736834f4ff4dd418789c02e0d8,Homenaje
Tu Con Él,Los Iracundos,spotify:track:7LPNI4CuWiYaeoGaM4cgqZ,31,182.227,pop romantico,https://i.scdn.co/image/ab67616d0000b27396cd492e6d076413ed0f10e4,15 Canciones Favoritas
Va Cayendo una Lagrima,Los Iracundos,spotify:track:6tZtiCaxndyJxJ5gfqL1Xh,7,88.351,pop romantico,https://i.scdn.co/image/ab67616d0000b273df67b2c18b4fa35d897f0d98,Los Iracundos - Los Moros 2X1
Porque No Vale la Pena,Los Iracundos,spotify:track:1qcrz9STqtMXkL5NTxBBr5,26,120.16,pop romantico,https://i.scdn.co/image/ab67616d0000b273df67b2c18b4fa35d897f0d98,Los Iracundos - Los Moros 2X1
Te He Prometido,Leo Dan,spotify:track:2KIUDhvmBGVNJW76YtjJ6C,56,127.338,"bolero, cancion melodica, latin pop, ranchera",https://i.scdn.co/image/ab67616d0000b273560b820e862292dbca9c9404,Mis Favoritas
Yo No Te Pido La Luna,Daniela Romo,spotify:track:5DP6Uxk8O9ej6xLPb4gDiE,56,122.874,"latin pop, ranchera",https://i.scdn.co/image/ab67616d0000b2737bbb6cdc28bb7619be35c16d,Celebridades- Daniela Romo
Hazme Olvidarla,Alvaro Torres,spotify:track:5sRIm3xghmrSY44JywG65E,0,131.675,,https://i.scdn.co/image/ab67616d0000b273f784cca77e18b4cfd89bb31f,15 Romantiquísimas
GDFR (feat. Sage the Gemini & Lookas),"Flo Rida, Sage The Gemini, Lookas",spotify:track:26rdOwwjC2UnweK3xeS58u,72,145.889,"dance pop, miami hip hop, pop, pop rap",https://i.scdn.co/image/ab67616d0000b2737947bf3e8af32378de181b41,My House
Doce Rosas,Lorenzo Antonio,spotify:track:4EPJIgQaRIuDZRm1qe9RrA,0,117.39,new mexico music,https://i.scdn.co/image/ab67616d0000b273d40e6e4082d99577a652e4bb,Lorenzo Antonio
No Llores Más Morena,Pedro Suárez-Vértiz,spotify:track:1UnpNb5FtHumh1G4e44qBG,0,118.054,peruvian rock,https://i.scdn.co/image/ab67616d0000b273b72df3c57aaa91a2a1003008,Talk Show
Tren Sexual,Pedro Suárez-Vértiz,spotify:track:0SsAFYwrfjtX6Mn1bGTcDh,35,131.991,peruvian rock,https://i.scdn.co/image/ab67616d0000b2731bfc2ca68dfb8a1f71d04dae,Degeneracion Actual
Alquien Que Bese Como Tu,Pedro Suárez-Vértiz,spotify:track:3yX13QX2pqJP55Q0Tg8Pm5,49,98.992,peruvian rock,https://i.scdn.co/image/ab67616d0000b2731bfc2ca68dfb8a1f71d04dae,Degeneracion Actual
"Un Vino, Una Cerveza",Pedro Suárez-Vértiz,spotify:track:5Q2J37xbIR60z6ifswoGKe,60,137.017,peruvian rock,https://i.scdn.co/image/ab67616d0000b2731bfc2ca68dfb8a1f71d04dae,Degeneracion Actual
